Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
11-Jul-24,Thursday,July,Q3,2024,EQ,3118.70,3129.80,3074.10,3096.00,3087.00,3078.30,3097.76,3743.90,2142.00,899781.00,85332.00
10-Jul-24,Wednesday,July,Q3,2024,EQ,3120.10,3127.25,3063.40,3110.75,3093.90,3096.00,3097.88,3743.90,2142.00,586710.00,44240.00
09-Jul-24,Tuesday,July,Q3,2024,EQ,3115.95,3158.00,3100.50,3113.60,3112.00,3110.75,3125.40,3743.90,2142.00,922403.00,57330.00
08-Jul-24,Monday,July,Q3,2024,EQ,3147.90,3158.20,3075.00,3147.90,3112.00,3113.60,3104.41,3743.90,2142.00,1155112.00,84099.00
05-Jul-24,Friday,July,Q3,2024,EQ,3143.90,3158.55,3123.95,3144.25,3146.15,3147.90,3143.96,3743.90,2142.00,663988.00,42349.00
04-Jul-24,Thursday,July,Q3,2024,EQ,3192.00,3194.45,3138.05,3190.95,3143.90,3144.25,3156.24,3743.90,2142.00,1055391.00,72430.00
03-Jul-24,Wednesday,July,Q3,2024,EQ,3158.00,3194.55,3147.75,3153.20,3185.00,3190.95,3170.61,3743.90,2142.00,1152522.00,56436.00
02-Jul-24,Tuesday,July,Q3,2024,EQ,3179.85,3207.80,3131.05,3183.80,3150.00,3153.20,3169.46,3743.90,2142.00,1490844.00,93900.00
01-Jul-24,Monday,July,Q3,2024,EQ,3179.95,3193.15,3157.55,3177.15,3180.00,3183.80,3175.58,3743.90,2142.00,832170.00,54965.00
28-Jun-24,Friday,June,Q2,2024,EQ,3190.00,3211.95,3157.00,3175.15,3174.00,3177.15,3184.74,3743.90,2142.00,960905.00,51717.00
27-Jun-24,Thursday,June,Q2,2024,EQ,3177.00,3202.25,3150.00,3170.50,3175.00,3175.15,3170.85,3743.90,2142.00,5114980.00,153131.00
26-Jun-24,Wednesday,June,Q2,2024,EQ,3169.05,3187.70,3163.90,3171.10,3169.00,3170.50,3174.21,3743.90,2142.00,2142889.00,58917.00
25-Jun-24,Tuesday,June,Q2,2024,EQ,3204.75,3208.45,3156.35,3194.60,3169.05,3171.10,3175.93,3743.90,2142.00,1694962.00,58570.00
24-Jun-24,Monday,June,Q2,2024,EQ,3185.75,3214.80,3135.00,3189.30,3193.95,3194.60,3191.57,3743.90,2142.00,3261647.00,107805.00
21-Jun-24,Friday,June,Q2,2024,EQ,3265.05,3277.10,3176.40,3259.45,3192.80,3189.30,3205.27,3743.90,2142.00,4697655.00,160462.00
20-Jun-24,Thursday,June,Q2,2024,EQ,3263.90,3315.00,3240.00,3261.90,3261.95,3259.45,3279.03,3743.90,2142.00,1366545.00,97561.00
19-Jun-24,Wednesday,June,Q2,2024,EQ,3314.00,3314.00,3226.30,3309.05,3264.25,3261.90,3259.86,3743.90,2142.00,1419264.00,84944.00
18-Jun-24,Tuesday,June,Q2,2024,EQ,3310.00,3345.00,3287.20,3261.75,3310.95,3309.05,3311.54,3743.90,2142.00,1755612.00,107419.00
